Eastern Date Hour,Eastern Date Hour,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
13-03-2023 01:00,EDT,CAPITL,61757,26.99,1.39,-1.19,1
13-03-2023 02:00,EDT,CAPITL,61757,26.12,1.39,-0.38,1
13-03-2023 03:00,EDT,CAPITL,61757,26.09,1.36,-0.89,1
13-03-2023 04:00,EDT,CAPITL,61757,26.24,1.41,-0.94,1
13-03-2023 05:00,EDT,CAPITL,61757,30.06,1.5,-3.89,1
13-03-2023 06:00,EDT,CAPITL,61757,37.09,1.79,-7.68,1
13-03-2023 07:00,EDT,CAPITL,61757,48.72,2.02,-17.46,1
13-03-2023 08:00,EDT,CAPITL,61757,55.46,1.91,-27.1,1
13-03-2023 09:00,EDT,CAPITL,61757,50.65,1.84,-22.94,1
13-03-2023 10:00,EDT,CAPITL,61757,45.81,1.74,-19.15,1
13-03-2023 11:00,EDT,CAPITL,61757,45.39,1.7,-18.7,1
13-03-2023 12:00,EDT,CAPITL,61757,42.32,1.73,-15.52,1
13-03-2023 13:00,EDT,CAPITL,61757,42.26,1.68,-15.92,1
13-03-2023 14:00,EDT,CAPITL,61757,40,1.54,-15.17,1
13-03-2023 15:00,EDT,CAPITL,61757,40.7,1.46,-17.1,1
13-03-2023 16:00,EDT,CAPITL,61757,43.87,1.53,-19.49,1
13-03-2023 17:00,EDT,CAPITL,61757,51.76,1.63,-25.11,1
13-03-2023 18:00,EDT,CAPITL,61757,57.19,1.68,-30.86,1
13-03-2023 19:00,EDT,CAPITL,61757,56.4,1.71,-29.9,1
13-03-2023 20:00,EDT,CAPITL,61757,48.32,1.78,-21.04,1
13-03-2023 21:00,EDT,CAPITL,61757,39.7,1.61,-13.38,1
13-03-2023 22:00,EDT,CAPITL,61757,33.99,1.59,-7.53,1
13-03-2023 23:00,EDT,CAPITL,61757,32.84,1.46,-6.67,1
14-03-2023 00:00,EDT,CAPITL,61757,30.38,1.44,-4.5,1
14-03-2023 01:00,EDT,CAPITL,61757,29.66,1.37,-3.81,1
14-03-2023 02:00,EDT,CAPITL,61757,28.97,1.3,-3.98,1
14-03-2023 03:00,EDT,CAPITL,61757,29.15,1.28,-4.57,1
14-03-2023 04:00,EDT,CAPITL,61757,29.12,1.25,-5.22,1
14-03-2023 05:00,EDT,CAPITL,61757,33.02,1.43,-7.83,1
14-03-2023 06:00,EDT,CAPITL,61757,47.49,1.62,-20.87,1
14-03-2023 07:00,EDT,CAPITL,61757,50.38,1.78,-20.37,1
14-03-2023 08:00,EDT,CAPITL,61757,56.84,1.64,-30.28,1
14-03-2023 09:00,EDT,CAPITL,61757,54.55,1.59,-28.43,1
14-03-2023 10:00,EDT,CAPITL,61757,52.9,1.58,-27.3,1
14-03-2023 11:00,EDT,CAPITL,61757,54.73,1.42,-32.13,1
14-03-2023 12:00,EDT,CAPITL,61757,53.44,1.4,-31.14,1
14-03-2023 13:00,EDT,CAPITL,61757,56.16,1.01,-39.07,1
14-03-2023 14:00,EDT,CAPITL,61757,54.16,0.73,-41.71,1
14-03-2023 15:00,EDT,CAPITL,61757,54.09,0.57,-44.13,1
14-03-2023 16:00,EDT,CAPITL,61757,52.32,0.73,-39.6,1
14-03-2023 17:00,EDT,CAPITL,61757,61.64,0.69,-49.73,1
14-03-2023 18:00,EDT,CAPITL,61757,65.12,1.03,-47.69,1
14-03-2023 19:00,EDT,CAPITL,61757,61.36,1.09,-43.54,1
14-03-2023 20:00,EDT,CAPITL,61757,53.38,1.26,-31.85,1
14-03-2023 21:00,EDT,CAPITL,61757,47.36,0.96,-30.62,1
14-03-2023 22:00,EDT,CAPITL,61757,41.13,1.1,-21.37,1
14-03-2023 23:00,EDT,CAPITL,61757,38.81,1.3,-14.22,1
15-03-2023 00:00,EDT,CAPITL,61757,38.73,1.09,-16.71,1
15-03-2023 01:00,EDT,CAPITL,61757,34.02,1.09,-11.86,1
15-03-2023 02:00,EDT,CAPITL,61757,32.87,0.98,-13.01,1
15-03-2023 03:00,EDT,CAPITL,61757,32.91,1,-13.01,1
15-03-2023 04:00,EDT,CAPITL,61757,32.72,1.11,-10.69,1
15-03-2023 05:00,EDT,CAPITL,61757,39.67,1.15,-17.67,1
15-03-2023 06:00,EDT,CAPITL,61757,52.74,1.49,-26.42,1
15-03-2023 07:00,EDT,CAPITL,61757,65.8,1.48,-39.72,1
15-03-2023 08:00,EDT,CAPITL,61757,57.08,1.3,-34.03,1
15-03-2023 09:00,EDT,CAPITL,61757,55.3,1.03,-36.55,1
15-03-2023 10:00,EDT,CAPITL,61757,43.55,1.25,-19.08,1
15-03-2023 11:00,EDT,CAPITL,61757,44.29,0.71,-30.13,1
15-03-2023 12:00,EDT,CAPITL,61757,41.22,0.69,-27.42,1
15-03-2023 13:00,EDT,CAPITL,61757,39.13,0.67,-25.63,1
15-03-2023 14:00,EDT,CAPITL,61757,41,0.51,-30.96,1
15-03-2023 15:00,EDT,CAPITL,61757,39.13,0.56,-27.78,1
15-03-2023 16:00,EDT,CAPITL,61757,42.05,0.54,-31.05,1
15-03-2023 17:00,EDT,CAPITL,61757,49.09,0.69,-35.41,1
15-03-2023 18:00,EDT,CAPITL,61757,53.58,0.9,-37.14,1
